No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,Time 2,Time 1,Delay 2,Delay 1,Jitter
307,19.54712054,192.168.1.1,192.168.1.2,TCP,74,54382  >  5001 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=316238665 TSecr=0 WS=512,,,,,,,,,,,,,19.54732197,19.54712054,0.006278598,0.000201428,0.00607717
308,19.54732197,192.168.1.2,192.168.1.1,TCP,74,"5001  >  54382 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2680708445 TSecr=316238665 WS=512",,,,,,,,,,,,,19.55360057,19.54732197,0.001540543,0.006278598,-0.004738055
309,19.55360057,192.168.1.1,192.168.1.2,TCP,66,54382  >  5001 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238678 TSecr=2680708445,,,,,,,,,,,,,19.55514111,19.55360057,0.002260461,0.001540543,0.000719918
310,19.55514111,192.168.1.1,192.168.1.2,TCP,66,"54382  >  5001 [FIN, ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238679 TSecr=2680708445",,,,,,,,,,,,,19.55740157,19.55514111,7.24E-05,0.002260461,-0.00218807
311,19.55740157,192.168.1.2,192.168.1.1,TCP,66,"5001  >  54382 [FIN, ACK] Seq=1 Ack=2 Win=43520 Len=0 TSval=2680708456 TSecr=316238679",,,,,,,,,,,,,19.55747397,19.55740157,0.006269779,7.24E-05,0.006197388
312,19.55747397,192.168.1.1,192.168.1.2,TCP,66,54382  >  5001 [ACK] Seq=2 Ack=2 Win=42496 Len=0 TSval=316238682 TSecr=2680708456,,,,,,,,,,,,,19.56374374,19.55747397,3.98E-05,0.006269779,-0.006229997
313,19.56374374,192.168.1.1,192.168.1.2,TCP,74,54384  >  5001 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=316238688 TSecr=0 WS=512,,,,,,,,,,,,,19.56378353,19.56374374,6.98E-05,3.98E-05,3.00E-05
314,19.56378353,192.168.1.2,192.168.1.1,TCP,74,"5001  >  54384 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2680708462 TSecr=316238688 WS=512",,,,,,,,,,,,,19.56385333,19.56378353,0.000202687,6.98E-05,0.000132884
315,19.56385333,192.168.1.1,192.168.1.2,TCP,66,54384  >  5001 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238688 TSecr=2680708462,,,,,,,,,,,,,19.56405602,19.56385333,2.23E-05,0.000202687,-0.00018034
316,19.56405602,192.168.1.1,192.168.1.2,TCP,7306,"54384  >  5001 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=7240 TSval=316238688 TSecr=2680708462",,,,,,,,,,,,,19.56407836,19.56405602,2.28E-05,2.23E-05,4.98E-07
317,19.56407836,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=7241 Win=39936 Len=0 TSval=2680708462 TSecr=316238688,,,,,,,,,,,,,19.56410121,19.56407836,9.02E-06,2.28E-05,-1.38E-05
318,19.56410121,192.168.1.1,192.168.1.2,TCP,7306,"54384  >  5001 [PSH, ACK] Seq=7241 Ack=1 Win=42496 Len=7240 TSval=316238688 TSecr=2680708462",,,,,,,,,,,,,19.56411023,19.56410121,0.000482275,9.02E-06,0.000473256
319,19.56411023,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=14481 Win=35328 Len=0 TSval=2680708462 TSecr=316238688,,,,,,,,,,,,,19.5645925,19.56411023,2.54E-05,0.000482275,-0.000456835
320,19.5645925,192.168.1.1,192.168.1.2,TCP,14546,"54384  >  5001 [PSH, ACK] Seq=14481 Ack=1 Win=42496 Len=14480 TSval=316238689 TSecr=2680708462",,,,,,,,,,,,,19.56461794,19.5645925,0.000112301,2.54E-05,8.69E-05
321,19.56461794,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=28961 Win=35840 Len=0 TSval=2680708463 TSecr=316238689,,,,,,,,,,,,,19.56473024,19.56461794,2.03E-05,0.000112301,-9.20E-05
322,19.56473024,192.168.1.1,192.168.1.2,TCP,7306,"54384  >  5001 [PSH, ACK] Seq=28961 Ack=1 Win=42496 Len=7240 TSval=316238689 TSecr=2680708462",,,,,,,,,,,,,19.56475058,19.56473024,2.32E-05,2.03E-05,2.90E-06
323,19.56475058,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=36201 Win=31744 Len=0 TSval=2680708463 TSecr=316238689,,,,,,,,,,,,,19.56477381,19.56475058,1.25E-05,2.32E-05,-1.08E-05
324,19.56477381,192.168.1.1,192.168.1.2,TCP,7306,"54384  >  5001 [PSH, ACK] Seq=36201 Ack=1 Win=42496 Len=7240 TSval=316238689 TSecr=2680708462",,,,,,,,,,,,,19.56478629,19.56477381,0.000153961,1.25E-05,0.000141481
325,19.56478629,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=43441 Win=27648 Len=0 TSval=2680708463 TSecr=316238689,,,,,,,,,,,,,19.56494025,19.56478629,2.98E-05,0.000153961,-0.000124187
326,19.56494025,192.168.1.1,192.168.1.2,TCP,14546,"54384  >  5001 [PSH, ACK] Seq=43441 Ack=1 Win=42496 Len=14480 TSval=316238689 TSecr=2680708463",,,,,,,,,,,,,19.56497003,19.56494025,0.000885376,2.98E-05,0.000855602
327,19.56497003,192.168.1.1,192.168.1.2,TCP,13234,"[TCP Window Full] 54384  >  5001 [PSH, ACK] Seq=57921 Ack=1 Win=42496 Len=13168 TSval=316238689 TSecr=2680708463",,,,,,,,,,,,,19.5658554,19.56497003,-0.025392635,0.000885376,-0.026278011
328,19.5658554,192.168.1.2,192.168.1.1,TCP,66,5001  >  54384 [ACK] Seq=1 Ack=71089 Win=42496 Len=0 TSval=2680708464 TSecr=316238689,,,,,,,,,,,,,19.54046277,19.5658554,0.025479171,-0.025392635,0.050871806
329,19.54046277,192.168.1.1,192.168.1.2,TCP,74,[TCP Retransmission] 54382  >  5001 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=316238665 TSecr=0 WS=512,,,,,,,,,,,,,19.56594194,19.54046277,-0.012393267,0.025479171,-0.037872438
330,19.56594194,192.168.1.1,192.168.1.2,TCP,8618,"54384  >  5001 [PSH, ACK] Seq=71089 Ack=1 Win=42496 Len=8552 TSval=316238690 TSecr=2680708464",,,,,,,,,,,,,19.55354867,19.56594194,4.51E-05,-0.012393267,0.012438397
331,19.55354867,192.168.1.2,192.168.1.1,TCP,74,"[TCP Retransmission] 5001  >  54382 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=2680708445 TSecr=316238665 WS=512",,,,,,,,,,,,,19.5535938,19.55354867,0.001523551,4.51E-05,0.001478421
332,19.5535938,192.168.1.1,192.168.1.2,TCP,66,[TCP Keep-Alive] 54382  >  5001 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=316238678 TSecr=2680708445,,,,,,,,,,,,,19.55511735,19.5535938,0.002306175,0.001523551,0.000782624
